id,text,addiction_type,confidence
1,I've been drinking every night just to forget my problems. I can't stop thinking about it.,substance_abuse,0.95
2,"I just spent my entire paycheck on online gambling. I know I should stop, but I can't help myself.",gambling,0.92
3,"I feel like I need to check my social media every few minutes, or I get anxious.",digital_addiction,0.9
4,"Whenever I feel stressed, I turn to alcohol. It’s the only way I can cope.",substance_abuse,0.97
5,"I can't stop playing this game. It's taking over my life, and I ignore everything else.",digital_addiction,0.93
6,"I've lost so much money on gambling sites. I tell myself it's my last time, but I always go back.",gambling,0.94
7,"I used to be social, but now I only feel comfortable with a drink in my hand.",substance_abuse,0.89
8,My friends say I spend too much time online. I just can’t stop scrolling through videos.,digital_addiction,0.85
9,I feel like I can’t control my betting habits. It’s affecting my relationships.,gambling,0.96
10,I find myself buying drugs even when I can't afford it. It’s like I have no control.,substance_abuse,0.99
11,"Every time I think about quitting smoking, I just light another cigarette.",substance_abuse,0.91
12,I lost my job because I was spending too much time gambling online.,gambling,0.93
13,I check my notifications even when I'm in the middle of a conversation.,digital_addiction,0.9
14,"I can’t function without my morning coffee, and I drink way too much of it.",substance_abuse,0.87
15,I feel really guilty after spending all my money on betting.,gambling,0.92
16,I always find myself binge-watching series for hours. I lose track of time.,digital_addiction,0.88
17,"I keep telling myself I'll quit drinking, but I always end up at the bar.",substance_abuse,0.94
18,I spend most of my paycheck on poker games. It's getting out of hand.,gambling,0.91
19,I feel anxious if I can't use my phone for a few minutes.,digital_addiction,0.93
20,I often drink to celebrate and then regret it the next day.,substance_abuse,0.89
21,I bet on games without thinking about the consequences.,gambling,0.95
22,"I can't stop playing this mobile game, even when I have work to do.",digital_addiction,0.9
23,I feel like I can't enjoy life without a drink in my hand.,substance_abuse,0.93
24,"I try to avoid my gambling friends, but I still end up joining them.",gambling,0.88
25,I find myself mindlessly scrolling through my feed for hours.,digital_addiction,0.91
26,"I think about using drugs every day, and it's affecting my mental health.",substance_abuse,0.96
27,"I promised myself I'd stop betting, but then I place another wager.",gambling,0.94
28,"I can't go a day without checking my social media, or I feel lost.",digital_addiction,0.89
29,"I hide my drinking from my family, but it’s becoming impossible to manage.",substance_abuse,0.95
30,"I gamble to escape reality, but it only makes things worse.",gambling,0.97
31,I get anxious when I’m not connected to the internet.,digital_addiction,0.9
32,"I drink to socialize, but I often end up drinking alone.",substance_abuse,0.94
33,"I regret every gambling loss, but I can’t stop myself.",gambling,0.96
34,I feel lost without my favorite online games; they’re my escape.,digital_addiction,0.92
35,"I always think I can control my drinking, but it gets the best of me.",substance_abuse,0.93
36,I lie about how much I gamble to my friends and family.,gambling,0.88
37,I check my phone before I even get out of bed in the morning.,digital_addiction,0.91
38,"I binge-drink every weekend, but I don't think I have a problem.",substance_abuse,0.94
39,"Every time I get money, I think about how I can use it for gambling.",gambling,0.95
40,I feel a rush when I post something online and get likes instantly.,digital_addiction,0.9
41,"I drink to feel better about my life, but it just makes it worse.",substance_abuse,0.96
42,I find it hard to resist the urge to gamble when I see ads online.,gambling,0.93
43,I can’t focus on anything else when I’m gaming; it’s all-consuming.,digital_addiction,0.94
44,"I’ve tried to quit drinking multiple times, but I always relapse.",substance_abuse,0.95
45,Gambling has cost me friendships and family relationships.,gambling,0.98
46,I feel like I’m missing out if I’m not online all the time.,digital_addiction,0.89
47,"I can't stop buying drugs, even when I know it's ruining my life.",substance_abuse,0.99
48,I gamble even when I'm supposed to be saving money for bills.,gambling,0.96
49,"My screen time is way too high, but I just can’t stop using my devices.",digital_addiction,0.94
50,"I often black out from drinking, and I don’t remember what happened.",substance_abuse,0.99
51,"I sometimes drink a little too much, but I think it's normal.",substance_abuse,0.65
52,"I enjoy playing games, but it doesn't take up all my time.",digital_addiction,0.7
53,"I play the lottery occasionally, but I don't spend much on it.",gambling,0.6
54,"I drink socially, but sometimes I go overboard.",substance_abuse,0.75
55,I find myself checking my phone more than I used to.,digital_addiction,0.72
56,"I bet on sports once in a while, but it's just for fun.",gambling,0.55
57,"I think about having a drink at the end of the day, but I don’t always do it.",substance_abuse,0.68
58,"I enjoy browsing social media, but it doesn’t interfere with my life.",digital_addiction,0.67
59,"I sometimes gamble when I’m feeling lucky, but it's not a big deal.",gambling,0.6
60,I feel fine when I skip a few days without drinking.,substance_abuse,0.5
61,"I use my phone a lot, but I can put it down when I need to.",digital_addiction,0.64
62,Gambling is just a hobby for me; I don’t take it too seriously.,gambling,0.58
63,I drink wine occasionally and don’t feel bad about it.,substance_abuse,0.62
64,"I play video games to unwind, but I make time for other activities.",digital_addiction,0.66
65,"I sometimes bet on horse races, but only for fun.",gambling,0.57
66,I enjoy a few beers on the weekends; it’s not a problem for me.,substance_abuse,0.6
67,"I scroll through social media during my breaks, but I don't feel addicted.",digital_addiction,0.63
68,"I buy scratch-off tickets sometimes, but it's not a big part of my life.",gambling,0.55
69,"I drink a cocktail every now and then, and I don’t feel guilty about it.",substance_abuse,0.72
70,I enjoy gaming but I also have a job and social life.,digital_addiction,0.65
71,"I have a bet with friends occasionally, but it’s all in good fun.",gambling,0.54
72,"I only drink when I go out, which is not too often.",substance_abuse,0.7
73,I find it easy to log off my games when I need to.,digital_addiction,0.66
74,"Gambling is just a way to pass time for me, nothing serious.",gambling,0.59
75,I occasionally drink with friends but I can stop whenever I want.,substance_abuse,0.65
76,"I enjoy watching streams online, but it’s not the only thing I do.",digital_addiction,0.62
77,"I sometimes feel tempted to gamble, but I resist most of the time.",gambling,0.61
78,"I drink sometimes, but I don’t think it’s a problem for me.",substance_abuse,0.58
79,"I watch videos for entertainment, but I don't think about it much.",digital_addiction,0.6
80,"I’ve placed a few bets, but I don’t consider myself a gambler.",gambling,0.57
81,"I enjoy a drink after work, but it’s nothing I can't handle.",substance_abuse,0.66
82,"I play games occasionally, but they don’t consume my life.",digital_addiction,0.63
83,"I don’t bet often, just when I’m with friends.",gambling,0.55
84,I have a drink every few weeks; it feels fine to me.,substance_abuse,0.62
85,"I enjoy online quizzes, but I don’t do them every day.",digital_addiction,0.64
86,"I sometimes think about gambling, but I rarely act on it.",gambling,0.56
87,"I have a drink with dinner occasionally, but that’s it.",substance_abuse,0.65
88,"I can quit using my phone anytime, it’s just a habit.",digital_addiction,0.59
89,"I might place a small bet, but I don’t worry about it.",gambling,0.54
90,"I enjoy having a beer at parties, but it’s not a necessity.",substance_abuse,0.67
91,"I like to watch TV series, but I can go without it easily.",digital_addiction,0.62
92,"I might gamble a little when I’m bored, but it’s rare.",gambling,0.58
93,"I drink every now and then, but it’s not often enough to worry.",substance_abuse,0.65
94,I scroll through Instagram occasionally but have other interests.,digital_addiction,0.61
95,"I might place a bet or two when I'm out, but nothing major.",gambling,0.53
96,"I enjoy a drink during special occasions, nothing too crazy.",substance_abuse,0.64
97,"I sometimes spend time gaming, but I also exercise regularly.",digital_addiction,0.6
98,"I have placed a bet on a whim, but it doesn’t happen often.",gambling,0.52
99,"I drink socially, and I feel in control of it.",substance_abuse,0.66
100,"I spend time online, but I prioritize my responsibilities first.",digital_addiction,0.62
101,"I occasionally have a glass of wine with dinner, but it's rare.",none,0.2
102,I use my phone to check the weather and then put it down.,none,0.15
103,I enjoy playing board games with friends on the weekends.,none,0.1
104,"I drink coffee in the morning, but I don’t rely on it.",none,0.25
105,"I might watch a movie occasionally, but I don’t binge.",none,0.3
106,I only go to the casino for special events; I don't gamble regularly.,none,0.2
107,"I try new recipes occasionally, but cooking isn’t an obsession.",none,0.15
108,"I use social media to stay in touch with family, but not excessively.",none,0.25
109,"I enjoy reading books, but I also spend time outdoors.",none,0.1
110,"I sometimes have dessert after dinner, but not every day.",none,0.2
111,"I like to walk my dog daily, but I don't feel tied to it.",none,0.15
112,"I go to the gym a few times a week, but I also enjoy rest days.",none,0.25
113,"I like to binge-watch a series sometimes, but I can stop easily.",none,0.3
114,"I occasionally try a new drink, but I'm not a big drinker.",none,0.2
115,"I enjoy gardening, but it’s a hobby, not an obsession.",none,0.1
116,"I listen to music while working, but I can focus without it.",none,0.25
117,"I might scroll through my phone while waiting, but I don’t need it.",none,0.2
118,"I drink tea in the evenings, but it’s just a calming ritual.",none,0.15
119,"I enjoy visiting friends occasionally, but I don’t feel lonely without it.",none,0.1
120,"I watch a few shows during the week, but I don’t feel compelled to binge.",none,0.3
121,"I might play a mobile game while waiting, but I can easily put it down.",none,0.2
122,I enjoy a drink with friends occasionally; it’s not a habit.,none,0.25
123,"I read the news online, but I don’t spend too much time on it.",none,0.15
124,"I do some puzzles for fun, but they don’t take up all my time.",none,0.1
125,"I enjoy drawing occasionally, but it’s not something I have to do.",none,0.2
126,"I play sports for fun, but I don’t feel pressured to win.",none,0.15
127,"I might have a beer while watching a game, but it’s not frequent.",none,0.25
128,"I only shop online when I need something, not just for fun.",none,0.2
129,"I watch educational videos online, but not every day.",none,0.15
130,"I like to try new foods when I go out, but I don’t have cravings for them.",none,0.1
131,"I take walks for exercise, but I can skip it if needed.",none,0.25
132,I might play an online game with friends once in a while.,none,0.3
133,"I enjoy cooking for fun, but it’s not something I feel I must do.",none,0.2
134,"I read a book occasionally, but it’s not every night.",none,0.15
135,"I occasionally check my email, but I can wait to respond.",none,0.2
136,I play a few rounds of golf during the summer; it’s just a leisure activity.,none,0.1
137,"I might snack while watching TV, but it’s not something I rely on.",none,0.25
138,"I enjoy taking photos on vacation, but I don’t need to do it daily.",none,0.15
139,"I might scroll through Pinterest for ideas, but it’s not addictive.",none,0.2
140,I only attend a bar for special occasions; I don't go often.,none,0.25
141,"I cook dinner a few times a week, but I don’t feel obligated to.",none,0.1
142,"I look for new recipes online, but it’s just for fun.",none,0.15
143,"I sometimes watch documentaries, but not every week.",none,0.2
144,"I enjoy a drink during special events, but I can take it or leave it.",none,0.3
145,"I read reviews before trying a new restaurant, but it doesn’t consume me.",none,0.25
146,"I occasionally play with my kids, but I also encourage them to play outside.",none,0.15
147,I might do some gardening when I have time; it’s relaxing.,none,0.1
148,I occasionally visit a friend’s house for dinner; it’s nice to catch up.,none,0.2
149,I like to watch the news occasionally but I’m not obsessed with it.,none,0.15
150,"I go for a walk in the park sometimes, but it’s not a daily routine.",none,0.2
151,"I occasionally enjoy a drink with dinner, but it's not a habit.",none,0.18
152,"I like to watch a movie now and then, but I can easily skip it.",none,0.22
153,"I read a book when I have free time, but it's not my main activity.",none,0.17
154,"I sometimes play games with friends, but it's infrequent.",none,0.2
155,"I might check my social media once a day, but I don't dwell on it.",none,0.21
156,"I enjoy cooking new recipes occasionally, but I don't feel pressured to.",none,0.15
157,"I like to visit the gym when I can, but I don't obsess over it.",none,0.2
158,"I enjoy gardening occasionally, but I also have other hobbies.",none,0.19
159,"I might have a snack while watching TV, but I don't do it every time.",none,0.16
160,"I go for a run when I feel like it, but it's not a strict routine.",none,0.22
161,"I enjoy a glass of water when I'm thirsty, but I don’t crave it.",none,0.14
162,"I check my email when I need to, but I don’t feel compelled to.",none,0.23
163,"I might go for ice cream on a hot day, but it's a rare treat.",none,0.18
164,"I take my dog for a walk when I can, but it’s not a daily obligation.",none,0.2
165,"I occasionally try new restaurants, but I don't feel the need to go out often.",none,0.21
166,"I might attend a concert if it's convenient, but I don't seek them out.",none,0.17
167,"I enjoy photography as a hobby, but I don’t feel I must do it all the time.",none,0.15
168,"I only play video games occasionally, and I can stop anytime.",none,0.19
169,"I drink herbal tea in the evenings sometimes, but I don’t rely on it.",none,0.2
170,"I enjoy reading the news occasionally, but it doesn’t consume my time.",none,0.16
171,"I like to go out for walks in nature, but it’s not a frequent activity.",none,0.23
172,"I enjoy baking, but I don’t feel pressured to do it often.",none,0.19
173,"I might do yoga once in a while, but it’s not a routine.",none,0.2
174,"I enjoy casual dining out, but I don’t do it frequently.",none,0.22
175,"I check my messages when I want to, but I don't obsess over it.",none,0.21
176,"I might attend a local event now and then, but it’s not a priority.",none,0.18
177,"I enjoy a good book now and then, but I don't feel the need to read daily.",none,0.2
178,"I like to watch documentaries occasionally, but it’s not a habit.",none,0.22
179,"I might use a fitness app sometimes, but I don’t feel dependent on it.",none,0.16
180,"I might enjoy some cake during a celebration, but I don't crave sweets daily.",none,0.19
181,"I check the weather app occasionally, but I don't rely on it every day.",none,0.15
182,"I enjoy spending time with family, but I also value my alone time.",none,0.2
183,"I listen to podcasts occasionally, but I don’t have to every day.",none,0.22
184,"I sometimes engage in arts and crafts, but it’s not an obsession.",none,0.2
185,"I enjoy swimming in the summer, but I don't go often.",none,0.18
186,"I might attend a workshop if it interests me, but I don’t feel pressured to.",none,0.21
187,"I enjoy trying new foods during vacations, but it’s not a requirement.",none,0.19
188,"I sometimes visit museums, but it’s not a regular activity for me.",none,0.2
189,"I might go to the park occasionally, but I can skip it without issue.",none,0.15
190,"I enjoy learning new skills, but I don't feel addicted to it.",none,0.18
191,"I find myself drinking every weekend, even when I plan not to.",substance_abuse,0.85
192,"I gamble frequently, often losing track of time and money.",gambling,0.9
193,"I spend hours scrolling through social media, even when I have other tasks.",digital_addiction,0.88
194,I feel anxious if I can't check my phone for updates.,digital_addiction,0.92
195,"I often drink to cope with stress, and I can't remember the last time I didn't.",substance_abuse,0.87
196,"I place bets even when I know I shouldn’t, hoping to win back losses.",gambling,0.85
197,I feel compelled to check my gaming stats multiple times a day.,digital_addiction,0.89
198,"I can't seem to stop binge-watching series, even when I have responsibilities.",digital_addiction,0.86
199,"I frequently find myself drinking alone, especially on tough days.",substance_abuse,0.84
200,"I often make excuses to gamble more, telling myself it will pay off.",gambling,0.88
201,I can’t resist the urge to check my social media first thing in the morning.,digital_addiction,0.91
